compound,neg,neu,pos,tweet
0.0,0.0,1.0,0.0,@thegreatbobbu here's to hopin!
0.0,0.0,1.0,0.0,@MrJayManuel can't wait!
0.7263,0.0,0.396,0.604,@thegreatbobbu hope moo feels better soon!
0.4574,0.0,0.401,0.599,@OfficialAudrina yes i did!
0.3595,0.0,0.667,0.333,Join my artist-friendly VR development community!
0.0,0.0,1.0,0.0,"@ID_AA_Carmack The medium-term physiological effects of VR, from DK1 to Gear VR to CV1."
0.0,0.0,1.0,0.0,I got a length of 13 in https://t.co/RzOQ5Dpmeo!
0.0,0.0,1.0,0.0,RT to #VoiceSaveBryan https://t.co/tzTOvWmNCp
0.0,0.0,1.0,0.0,RT to #VoiceSaveOwen https://t.co/tzTOvWEp0Z
0.0,0.0,1.0,0.0,RT to #VoiceSaveOwen https://t.co/tzTOvWEp0Z
0.0,0.0,1.0,0.0,"I'm at @YardHouse in Los Angeles, CA https://t.co/mEZcHuFMCt"
0.0,0.0,1.0,0.0,"I'm at @StaplesCenter in Los Angeles, CA https://t.co/iaxHZDrtgs"
0.0,0.0,1.0,0.0,Staying an extra night in Cambria after spending a day at Hearst Castle.
0.2732,0.0,0.588,0.412,@RMdeVienne Biomechanics is God.
0.0,0.0,1.0,0.0,@RMdeVienne You need to study biomechanics more.
0.0,0.0,1.0,0.0,@RMdeVienne Height requirements.
0.0,0.0,1.0,0.0,I have been on Twitter for 7 years and 3 months (since 13 Apr 2009).
0.5719,0.0,0.351,0.649,All the LOLz.
0.5399,0.0,0.365,0.635,@djstandout awww thanks!!
0.0,0.0,1.0,0.0,Just posted a photo http://t.co/PMQM9V9BOa
0.4926,0.0,0.715,0.285,Who told @BurgerKing that black bun was a good idea?!
0.0772,0.198,0.579,0.223,My drive and determination is crazy #hustle #askandyoushallreceive #thankyou
0.0,0.0,1.0,0.0,Welp.
0.0,0.0,1.0,0.0,@sighlauuu omg??????????
0.0,0.0,1.0,0.0,I cant believe a reality tv star is the #POTUS2016  and its not @KimKardashian.
0.4939,0.0,0.849,0.151,Everytime I see #SuicideSquad  I enjoy it even more 😍 can't wait to see it for the third time @SuicideSquadWB @MargotRobbie @WarnerBrosEnt
0.7269,0.0,0.747,0.253,"one day I want to work at @DCComics and with @geoffjohns, it will be amazing and my life will be complete with my dream job😎"
0.0772,0.184,0.615,0.201,Things I am sick of hearing about: The potenial romance between @CherylOfficial and @Real_Liam_Payne.
0.0,0.0,1.0,0.0,Can't wait to have my first Pumpkin Latte from Dunkin Donuts... #DDPumpkin #Sweepstakes  #DD4Life
0.6696,0.0,0.471,0.529,Lunch @Wahlburgers Best food ever!
0.6696,0.0,0.154,0.846,Party like a Leakie!
0.0,0.0,1.0,0.0,I am a breast model.
0.3802,0.0,0.278,0.722,Please RT!
0.1867,0.0,0.874,0.126,"Don't miss the Ultimate World #Breastfeeding Week giveaway with @TheLeakyBoob, @SanDiegoBFC, and @TheBoobGroup!"
0.5859,0.0,0.703,0.297,I entered to win @LeCreuset @WeAreDreamfarm @landolakesktchn giveaway ends 4/15 http://t.co/DtmgiIvzZe
0.4215,0.0,0.811,0.189,I'm hoping for the sun today #soleil #giveaway #beco @BecoBaby @TheBabyGuyNYC #babywearing http://t.co/c7mNsrQDVY
0.0,0.0,1.0,0.0,@TruKid products #GIVEAWAY on @HandlingWGrace blog http://t.co/T7N24qqEAZ http://t.co/hPaPnoFwkK
-0.34,0.375,0.625,0.0,Kindle Fire HD Giveaway http://t.co/xsnevh2p
0.0,0.0,1.0,0.0,New Today - An update on Google's feature-phone crawling &amp; indexing https://t.co/76GcQugalb
0.6369,0.0,0.682,0.318,What are the best seo tools for beginners in 2016?
-0.3182,0.315,0.685,0.0,Why has your site lost traffic?
0.0,0.0,1.0,0.0,for every bird there is a stone thrown at a bird.
0.5563,0.0,0.69,0.31,So delighted to find out @SonnyBunch isn't a total monster.
0.5859,0.0,0.345,0.655,@mcbelz @WORLD_mag brilliant.
0.0,0.0,1.0,0.0,Listen everyone: take a deep breath.
0.0,0.0,1.0,0.0,you gave yourself a nickname https://t.co/1OPZCQ0Pue
0.3818,0.0,0.729,0.271,I think it's clear we all voted for self-righteousness.
0.3595,0.0,0.801,0.199,"Yep that's my year: a little bit of pets, paper, and family!"
0.4062,0.0,0.688,0.312,My little munchkin :) #sleepybaby #lovedrunk https://t.co/MmTahtyv0H
0.3612,0.0,0.615,0.385,Guess who's ready for Thanksgiving?
-0.3561,0.553,0.447,0.0,@His_Dreamgirl I miss you!!!
0.7163,0.0,0.617,0.383,@adamsmasher69 That'll be a great show and time in Denver!!!
0.0,0.0,1.0,0.0,@davematthewsbnd @adamsmasher69 Hi Adam!!!
0.0,0.0,1.0,0.0,@EveryDollar are there any plans to make the everydollar app available outside the U.S.?
0.0,0.0,1.0,0.0,Drummers....
-0.4019,0.197,0.803,0.0,When ACDC had drummer problems nobody thought they could Phil Rudd's shoes.
